Mme/M,Députés,id,photo,Groupe,Ministre,Fonction,Partis,Précision,Téléphone / Portable,Mail,Départements,Circonscription,Tribune Le Monde signataires interdiction glyphosate,Co-signataires amendement Mathieu Oprhelin,1er scrutin Absent / Présent,Pour/Contre,2ème scrutin Absent / Présent,Pour/Contre,SCRUTIN ENVOYE SPECIAL
M.,Pierre Morel-À-L'Huissier,omc_pa266788,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266788.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 75 34 OU 01 40 63 79 96,pierre.morel-a-lhuissier@assemblee-nationale.fr  pierremorellozere@gmail.com,Lozère,1,,,,,,,
M.,Jean-Yves Bony,omc_pa266793,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266793.jpg,Les Républicains,,,LR,,01 40 63 05 02,jean-yves.bony@assemblee-nationale.fr  jybony@orange.fr,Cantal,2,,,Présent,Contre,PRESENT,CONTRE,CONTRE
M.,Philippe Gosselin,omc_pa266797,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266797.jpg,Les Républicains,,,LR,,01 40 63 72 21,philippegosselin50@orange.fr  philippe.gosselin@assemblee-nationale.fr,Manche,1,,,,,,,
M.,Vincent Rolland,omc_pa266808,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266808.jpg,Les Républicains,,,LR,,01 40 63 91 11,vincent-rolland@wanadoo.fr  vincent.rolland@assemblee-nationale.fr,Savoie,2,,,,,,,
M.,Yannick Favennec Becot,omc_pa267042,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267042.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 75 45,favennec.yannick@wanadoo.fr  yfavennec@assemblee-nationale.fr,Mayenne,3,,,,,,,POUR
M.,Sébastien Huyghe,omc_pa267200,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267200.jpg,Les Républicains,,,LR,,03 20 60 26 26 ( Tel en circ.),sebastien.huyghe@assemblee-nationale.fr,Nord,5,,,,,,,
M.,Jean-Marie Sermier,omc_pa267204,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267204.jpg,Les Républicains,,,LR,,01 40 63 33 04,jean-marie.sermier@assemblee-nationale.fr  jmsermier-dole@wanadoo.fr,Jura,3,,,,,,,
M.,Christophe Bouillon,omc_pa267233,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267233.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 33 68,christophe.bouillon@assemblee-nationale.fr,Seine-Maritime,5,,,,,PRESENT,POUR,POUR
M.,Stéphane Demilly,omc_pa267241,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267241.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 69 34,stephane.demilly@assemblee-nationale.fr  depute.demilly@wanadoo.fr,Somme,5,,,,,,,
Mme,Bérengère Poletti,omc_pa267260,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267260.jpg,Les Républicains,,,LR,,01 40 63 72 30,berengerepoletti08@wanadoo.fr  berengere.poletti@assemblee-nationale.fr,Ardennes,1,,,,,,,
M.,Jean-Pierre Door,omc_pa267289,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267289.jpg,Les Républicains,,,LR,,01 40 63 72 37,doorjp@wanadoo.fr  jean-pierre.door@assemblee-nationale.fr,Loiret,4,,,Présent,Contre,,,
M.,André Chassaigne,omc_pa267306,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267306.jpg,Gauche démocrate et républicaine,,Président,PCF,,01 40 63 71 82,andre.chassaigne@assemblee-nationale.fr  chassaigne.a@wanadoo.fr,Puy-de-Dôme,5,,,,,PRESENT,POUR,POUR
M.,Jean-Carles Grelier,omc_pa267318,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267318.jpg,Les Républicains,,,LR,,01 40 63 68 85,jean-carles.grelier@assemblee-nationale.fr,Sarthe,5,,,,,,,
M.,Jean-Jacques Gaultier,omc_pa267324,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267324.jpg,Les Républicains,,,LR,,01 40 63 67 97,jjgaultier88@gmail.com  jean-jacques.gaultier@assemblee-nationale.fr,Vosges,4,,,,,,,
M.,Michel Zumkeller,omc_pa267330,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267330.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 69 94,michel.zumkeller@assemblee-nationale.fr  michel.zumkeller@wanadoo.fr,Territoire de Belfort,2,,,,,,,POUR
M.,Joël Giraud,omc_pa267336,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267336.jpg,La République en Marche,,,LREM,,01 40 63 66 07,joel.giraud@assemblee-nationale.fr,Hautes-Alpes,2,SIGNATAIRE,,,,,,POUR
M.,Antoine Herth,omc_pa267355,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267355.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 71 32,antoine.herth@assemblee-nationale.fr,Bas-Rhin,5,,,Présent,Contre,,,
Mme,Geneviève Levy,omc_pa267378,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267378.jpg,Les Républicains,,,LR,,01 40 63 72 87,genevieve.levy@assemblee-nationale.fr,Var,1,,,,,,,
M.,Dino Cinieri,omc_pa267429,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267429.jpg,Les Républicains,,,LR,,01 40 63 72 03,dino.cinieri@assemblee-nationale.fr,Loire,4,,,Présent,Contre,,,
M.,Éric Diard,omc_pa267440,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267440.jpg,Les Républicains,,,LR,,0 1 40 63 72 56,ericdiard@yahoo.fr  eric.diard@assemblee-nationale.fr,Bouches-du-Rhône,12,,,,,PRESENT,POUR,POUR
M.,Rémi Delatte,omc_pa267450,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267450.jpg,Les Républicains,,,LR,,01 40 63 05 10 OU 01 40 63 05 90,remi.delatte@assemblee-nationale.fr,Côte-d'Or,2,,,,,,,
M.,Martial Saddier,omc_pa267527,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267527.jpg,Les Républicains,,,LR,,01 40 63 33 03,martial.saddier@assemblee-nationale.fr,Haute-Savoie,3,,,,,,,POUR
M.,Francis Vercamer,omc_pa267585,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267585.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 75 39,francis.vercamer@assemblee-nationale.fr,Nord,7,,,,,,,
M.,Philippe Folliot,omc_pa267673,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267673.jpg,La République en Marche,,,LREM,,01 40 63 73 87,philippe.folliot@assemblee-nationale.fr,Tarn,1,,,,,,,CONTRE
M.,Claude de Ganay,omc_pa267735,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267735.jpg,Les Républicains,,,LR,,01 40 63 72 29,claude.deganay@assemblee-nationale.fr,Loiret,3,,,,,,,
M.,Guy Bricout,omc_pa267766,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267766.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 96 03,guy.bricout@assemblee-nationale.fr,Nord,18,,,,,,,POUR
Mme,Agnès Firmin Le Bodo,omc_pa267780,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267780.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 75 33,agnes.firminlebodo@assemblee-nationale.fr,Seine-Maritime,7,,,,,,,CONTRE
M.,Guillaume Larrivé,omc_pa267785,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267785.jpg,Les Républicains,,,LR,,03 86 48 37 88,guillaume.larrive@assemblee-nationale.fr,Yonne,1,,,,,,,
Mme,Michèle Tabarot,omc_pa267794,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267794.jpg,Les Républicains,,,LR,,01 40 63 68 80,michele.tabarot@assemblee-nationale.fr,Alpes-Maritimes,9,,,,,,,
M.,Mansour Kamardine,omc_pa267901,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267901.jpg,Les Républicains,,,LR,,01 40 63 72 42,mansour.kamardine@assemblee-nationale.fr,Mayotte,2,,,,,,,
M.,Jean-Christophe Lagarde,omc_pa268019,http://www2.assemblee-nationale.fr/static/tribun/15/photos/268019.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 58 84,jean-christophe.lagarde@assemblee-nationale.fr,Seine-Saint-Denis,5,,,,,,,CONTRE
M.,Jean-Charles Taugourdeau,omc_pa2792,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2792.jpg,Les Républicains,,,LR,,01 40 63 72 24,jean-charles.taugourdeau@assemblee-nationale.fr  jctaugourdeau.depute@wanadoo.fr,Maine-et-Loire,3,,,,,,,
M.,Guy Teissier,omc_pa2796,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2796.jpg,Les Républicains,,,LR,,01 40 63 91 09,guy.teissier@assemblee-nationale.fr,Bouches-du-Rhône,6,,,,,,,CONTRE
M.,Alain Tourret,omc_pa2828,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2828.jpg,La République en Marche,,,LREM,,01 40 63 75 69,alain.tourret@assemblee-nationale.fr,Calvados,6,,,,,,,
M.,Jean-Luc Warsmann,omc_pa2952,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2952.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 69 89,jean-luc.warsmann@assemblee-nationale.fr,Ardennes,3,,,,,,,
M.,Éric Woerth,omc_pa2960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2960.jpg,Les Républicains,,,LR,,01 40 63 66 17,eric.woerth@assemblee-nationale.fr OU eric.woerth@orange.fr,Oise,4,,,,,,,
M.,Xavier Breton,omc_pa330008,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330008.jpg,Les Républicains,,,LR,,01 40 63 72 68 ,xavier.breton@assemblee-nationale.fr,Ain,1,,,,,,,N'a pas voté volontairement
M.,Éric Ciotti,omc_pa330240,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330240.jpg,Les Républicains,,,LR,,01 40 63 72 78,eric.ciotti@assemblee-nationale.fr,Alpes-Maritimes,1,,,,,,,
Mme,Valérie Boyer,omc_pa330684,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330684.jpg,Les Républicains,,,LR,,01 40 63 74 68,valerie.boyer@assemblee-nationale.fr,Bouches-du-Rhône,1,,,,,,,
M.,Bernard Reynès,omc_pa330788,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330788.jpg,Les Républicains,,,LR,,01 40 63 72 22,bernard.reynes@assemblee-nationale.fr,Bouches-du-Rhône,15,,,,,,,
M.,Vincent Descoeur,omc_pa330909,http://www2.assemblee-nationale.fr/static/tribun/15/photos/330909.jpg,Les Républicains,,,LR,,01 40 63 05 03,vincent.descoeur@assemblee-nationale.fr,Cantal,1,,,Présent,Contre,,,CONTRE
Mme,Laure de La Raudière,omc_pa331567,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331567.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 75 42,laure.delaraudiere@assemblee-nationale.fr,Eure-et-Loir,3,,,Présent,Contre,,,CONTRE
M.,Philippe Vigier,omc_pa331582,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331582.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 01 05,philippe.vigier@assemblee-nationale.fr,Eure-et-Loir,4,,,Présent,Contre,,,CONTRE
Mme,Monique Iborra,omc_pa331835,http://www2.assemblee-nationale.fr/static/tribun/15/photos/331835.jpg,La République en Marche,,,LREM,,01 40 63 73 81,monique.iborra@assemblee-nationale.fr  monique.iborra@orange.fr,Haute-Garonne,6,,,,,,,CONTRE
M.,Thierry Benoit,omc_pa332228,http://www2.assemblee-nationale.fr/static/tribun/15/photos/332228.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 66 87,thierry.benoit@assemblee-nationale.fr,Ille-et-Vilaine,6,,,Présent,Contre,PRESENT,CONTRE,
Mme,Marie-Christine Dalloz,omc_pa332523,http://www2.assemblee-nationale.fr/static/tribun/15/photos/332523.jpg,Les Républicains,,,LR,,01 40 63 68 95,marie-christine.dalloz@assemblee-nationale.fr  marie-christine.dalloz39@orange.fr,Jura,2,,,,,,,
M.,Régis Juanico,omc_pa332614,http://www2.assemblee-nationale.fr/static/tribun/15/photos/332614.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 06 12 OU 01 40 63 06 92,regis.juanico@assemblee-nationale.fr,Loire,1,,,,,PRESENT,POUR,POUR
M.,Guillaume Garot,omc_pa333285,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333285.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 68 91,guillaume.garot@assemblee-nationale.fr,Mayenne,1,,,Présent,Pour,PRESENT,POUR,POUR
M.,Bertrand Pancher,omc_pa333421,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333421.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 71 29,bpancher.depute@orange.fr  bertrand.pancher@assemblee-nationale.fr,Meuse,1,,,,,,,CONTRE
M.,Christian Hutin,omc_pa333818,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333818.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,Apparenté au,01 40 65 05 01,christian.hutin@assemblee-nationale.fr,Nord,13,,,,,,,
Mme,Jacqueline Maquet,omc_pa334116,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334116.jpg,La République en Marche,,,LREM,,01 40 63 73 25,jacqueline.maquet@assemblee-nationale.fr  j-maquet@orange.fr,Pas-de-Calais,2,,,,,,,
M.,Daniel Fasquelle,omc_pa334149,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334149.jpg,Les Républicains,,,LR,,01 40 63 72 74,daniel.fasquelle@assemblee-nationale.fr,Pas-de-Calais,4,,,Présent,Contre,,,CONTRE
M.,Éric Straumann,omc_pa334654,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334654.jpg,Les Républicains,,,LR,,01 40 63 05 05,eric.straumann@assemblee-nationale.fr  ericstraumann@yahoo.fr,Haut-Rhin,1,,,,,,,CONTRE
M.,Jean-Louis Touraine,omc_pa334768,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334768.jpg,La République en Marche,,,LREM,,01 40 63 76 02,jl.touraine@laposte.net  jean-louis.touraine@assemblee-nationale.fr,Rhône,3,SIGNATAIRE,,,,,,
M.,Patrice Verchère,omc_pa334843,http://www2.assemblee-nationale.fr/static/tribun/15/photos/334843.jpg,Les Républicains,,,LR,,01 40 63 68 73,vercherepatrice@orange.fr  patrice.verchere@assemblee-nationale.fr,Rhône,8,,,,,,,
Mme,Marietta Karamanli,omc_pa335054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335054.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 51,marietta.karamanli@assemblee-nationale.fr,Sarthe,2,,,,,,,POUR
Mme,George Pau-Langevin,omc_pa335532,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335532.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 69 10,georgepaulangevin@gmail.com  george.pau-langevin@assemblee-nationale.fr,Paris,15,,,,,,,POUR
M.,Jean-Paul Lecoq,omc_pa335612,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335612.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 60 90,jean-paul.lecoq@assemblee-nationale.fr,Seine-Maritime,8,,,,,PRESENT,POUR,POUR
Mme,Delphine Batho,omc_pa335999,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335999.jpg,Non inscrit,,,NI,PS,01 40 63 71 76,delphine.batho@assemblee-nationale.fr,Deux-Sèvres,2,,,Présent,Pour,PRESENT,POUR,POUR
Mme,Sylvia Pinel,omc_pa336175,http://www2.assemblee-nationale.fr/static/tribun/15/photos/336175.jpg,Libertés et Territoires,,,NI,PRG,01 40 63 06 07,sylvia.pinel@assemblee-nationale.fr,Tarn-et-Garonne,2,,,,,,,
M.,Jean-Claude Bouchet,omc_pa336316,http://www2.assemblee-nationale.fr/static/tribun/15/photos/336316.jpg,Les Républicains,,,LR,,01 40 63 72 10 OU 01 40 63 78 50,jean-claude.bouchet@assemblee-nationale.fr,Vaucluse,2,,,Présent,Contre,,,
M.,Jean-Michel Clément,omc_pa336439,http://www2.assemblee-nationale.fr/static/tribun/15/photos/336439.jpg,Libertés et Territoires,,,NI,En marche!,01 40 63 73 30 OU 01 40 63 78 93,jean-michel.clement@assemblee-nationale.fr,Vienne,3,,,,,,,POUR
M.,Serge Letchimy,omc_pa337483,http://www2.assemblee-nationale.fr/static/tribun/15/photos/337483.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,Apparenté au,01 40 63 71 65,serge.letchimy@assemblee-nationale.fr,Martinique,3,,,,,,,
M.,Hervé Saulignac,omc_pa340343,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340343.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 06 13,herve.saulignac@assemblee-nationale.fr,Ardèche,1,,,,,,,POUR
Mme,Michèle Victory,omc_pa340357,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340357.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01.40.63.68.58,michele.victory@assemblee-nationale.fr,Ardèche,2,,,,,,,POUR
M.,Sébastien Leclerc,omc_pa340853,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340853.jpg,Les Républicains,,,LR,,PAS DE TEL,sebastien.leclerc@assemblee-nationale.fr,Calvados,3,,,Présent,Contre,,,CONTRE
Mme,Marie-Noëlle Battistel,omc_pa342415,http://www2.assemblee-nationale.fr/static/tribun/15/photos/342415.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 33 16,marie-noelle.battistel@assemblee-nationale.fr  mnoelle.battistel@orange.fr,Isère,4,,,,,PRESENT,POUR,
Mme,Marianne Dubois,omc_pa342935,http://www2.assemblee-nationale.fr/static/tribun/15/photos/342935.jpg,Les Républicains,,,LR,,01 40 63 72 45,mduboisdepute45@orange.fr  marianne.dubois@assemblee-nationale.fr,Loiret,5,,,,,,,
M.,Gwendal Rouillard,omc_pa343493,http://www2.assemblee-nationale.fr/static/tribun/15/photos/343493.jpg,La République en Marche,,,LREM,,01 40 63 95 11,gwendal.rouillard@assemblee-nationale.fr  rouillard.gwendal@orange.fr,Morbihan,5,,,,,,,CONTRE
Mme,Constance Le Grip,omc_pa345722,http://www2.assemblee-nationale.fr/static/tribun/15/photos/345722.jpg,Les Républicains,,,LR,,01 40 63 67 85,constance.legrip@assemblee-nationale.fr,Hauts-de-Seine,6,,,,,,,
M.,Emmanuel Maquet,omc_pa346054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346054.jpg,Les Républicains,,,LR,,01 40 63 68 75,emmanuel.maquet@assemblee-nationale.fr,Somme,3,,,,,,,
M.,Jean-Louis Masson,omc_pa346218,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346218.jpg,Les Républicains,,,LR,,01 40 63 91 04,jean-louis.masson@assemblee-nationale.fr,Var,3,,,,,,,
M.,Thierry Solère,omc_pa346876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/346876.jpg,La République en Marche,,,LREM,,01 40 63 63 01,thierry.solere@assemblee-nationale.fr  thierry.solere@gmail.com,Hauts-de-Seine,9,,,,,,,
M.,François Pupponi,omc_pa405480,http://www2.assemblee-nationale.fr/static/tribun/15/photos/405480.jpg,Libertés et Territoires,,,NOUVELLE GAUCHE,,01 40 63 68 93,francois.pupponi@assemblee-nationale.fr,Val-d'Oise,8,,,,,,,
M.,André Villiers,omc_pa421348,http://www2.assemblee-nationale.fr/static/tribun/15/photos/421348.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 96 11,andre.villiers@assemblee-nationale.fr  a.villiers@wanadoo.fr,Yonne,2,,,,,,,POUR
